Fecha,Pasajeros_por_dia,Viajes_por_dia,Tarifario_por_dia,Total_recaudado_por_dia,Pago_con_tarjeta,Pago_con_efectivo,Tipo_de_Taxi
2022-03-09,3117,2710,"38,205.60","48,843.41","1,576.00",827.00,green
2022-03-10,3155,2761,"41,146.07","52,233.08","1,545.00",949.00,green
2022-03-11,3397,2886,"43,356.14","55,219.92","1,572.00",967.00,green
2022-03-12,2407,2255,"31,663.29","40,181.81","1,219.00",718.00,green
2022-03-13,2240,2038,"29,579.42","37,631.32","1,120.00",605.00,green
2022-03-14,2747,2349,"34,433.68","43,402.92","1,239.00",859.00,green
2022-03-15,2681,2298,"33,366.50","42,422.61","1,306.00",771.00,green
2022-03-16,3028,2564,"37,671.59","47,064.60","1,422.00",902.00,green
2022-03-17,3175,2747,"40,186.28","50,915.24","1,545.00",914.00,green
2022-03-18,3200,2733,"40,579.86","52,122.78","1,410.00",942.00,green
2022-03-19,2790,2366,"35,074.78","44,166.10","1,268.00",799.00,green
2022-03-20,2348,2043,"32,236.35","40,475.21","1,112.00",652.00,green
2022-03-21,2891,2346,"34,163.47","43,197.97","1,296.00",821.00,green
2022-03-22,2850,2485,"33,643.74","43,089.00","1,435.00",834.00,green
2022-03-23,3339,2808,"38,895.33","49,652.98","1,611.00",930.00,green
2022-03-24,3272,2851,"40,729.70","51,841.87","1,630.00",930.00,green
2022-03-25,3293,2876,"41,261.81","52,717.20","1,568.00",997.00,green
2022-03-26,2750,2509,"37,470.96","47,249.77","1,404.00",786.00,green
2022-03-27,2466,2145,"30,747.13","39,187.46","1,221.00",644.00,green
2022-03-28,3028,2604,"36,179.43","46,288.15","1,533.00",795.00,green
2022-03-29,3257,2764,"39,372.75","49,768.36","1,586.00",924.00,green
2022-03-30,3204,2678,"36,906.92","47,218.96","1,520.00",903.00,green
2022-03-31,3138,2672,"39,509.31","50,054.99","1,564.00",839.00,green
2022-03-31,2,2,10.00,14.06,2.00,0.00,green
2022-04-01,1,1,11.00,11.30,0.00,1.00,green
2022-04-01,3183,2856,"41,408.50","52,862.25","1,533.00",955.00,green
2022-04-02,2667,2402,"36,062.65","45,158.56","1,251.00",803.00,green
2022-04-03,2329,2014,"28,477.50","36,729.96","1,162.00",592.00,green
2022-04-04,2937,2454,"33,431.87","42,439.79","1,292.00",932.00,green
2022-04-05,3108,2670,"37,251.82","47,441.30","1,507.00",914.00,green
2022-04-06,2913,2590,"37,201.74","47,776.26","1,484.00",787.00,green
2022-04-07,3161,2869,"41,415.19","52,851.42","1,633.00",842.00,green
2022-04-08,1,1,6.50,7.30,0.00,1.00,green
2022-04-08,3230,2826,"41,926.27","53,412.53","1,510.00",944.00,green
2022-04-09,2756,2506,"38,423.38","48,400.09","1,339.00",773.00,green
