Fecha,Pasajeros_por_dia,Viajes_por_dia,Tarifario_por_dia,Total_recaudado_por_dia,Pago_con_tarjeta,Pago_con_efectivo,Tipo_de_Taxi
2022-03-02,156001,"119,863.00","1,605,257.84","2,389,519.17","3,414.00","93,026.00",yellow
2022-03-03,169807,"129,290.00","1,733,118.11","2,585,340.53","4,152.00","100,298.00",yellow
2022-03-04,171337,"128,505.00","1,740,397.96","2,589,837.58","4,776.00","99,109.00",yellow
2022-03-05,170779,"120,368.00","1,567,166.81","2,308,828.08","4,000.00","92,956.00",yellow
2022-03-06,134557,"95,853.00","1,398,166.15","2,039,665.90","3,124.00","74,101.00",yellow
2022-03-07,130386,"99,695.00","1,392,793.31","2,061,060.25","2,828.00","76,125.00",yellow
2022-03-08,153852,"117,165.00","1,581,442.46","2,355,140.44","3,379.00","91,114.00",yellow
2022-03-09,4,1.00,11.00,17.76,0.00,1.00,yellow
2022-03-09,155105,"120,056.00","1,631,359.25","2,427,426.40","4,342.00","93,424.00",yellow
2022-03-10,163487,"124,861.00","1,784,502.47","2,635,569.42","4,216.00","97,102.00",yellow
2022-03-11,173475,"129,455.00","1,827,919.10","2,708,148.42","4,870.00","99,614.00",yellow
2022-03-12,172678,"121,776.00","1,538,256.46","2,287,744.22","4,954.00","93,564.00",yellow
2022-03-12,1,1.00,5.50,8.80,0.00,0.00,yellow
2022-03-13,140292,"100,133.00","1,452,665.41","2,115,743.57","4,086.00","75,922.00",yellow
2022-03-14,131365,"98,693.00","1,439,567.67","2,114,212.13","3,106.00","73,400.00",yellow
2022-03-15,148950,"112,729.00","1,573,463.05","2,328,940.67","3,314.00","85,753.00",yellow
2022-03-15,7,3.00,26.00,40.62,0.00,2.00,yellow
2022-03-16,159435,"119,733.00","1,679,152.21","2,485,529.91","3,674.00","90,879.00",yellow
2022-03-17,156056,"116,633.00","1,688,440.56","2,485,851.45","4,171.00","88,686.00",yellow
2022-03-17,1,1.00,5.00,10.56,0.00,1.00,yellow
2022-03-18,175038,"128,276.00","1,874,105.31","2,757,719.88","4,456.00","96,977.00",yellow
2022-03-18,6,2.00,18.50,37.52,0.00,1.00,yellow
2022-03-19,172412,"120,655.00","1,657,644.41","2,425,908.09","4,116.00","92,075.00",yellow
2022-03-20,139200,"100,169.00","1,584,796.77","2,280,646.33","3,728.00","76,038.00",yellow
2022-03-21,133999,"100,551.00","1,478,059.80","2,174,061.57","2,671.00","75,335.00",yellow
2022-03-22,148668,"113,331.00","1,563,819.95","2,319,091.46","3,043.00","86,824.00",yellow
2022-03-22,6,2.00,23.50,35.74,0.00,2.00,yellow
2022-03-23,161241,"122,056.00","1,655,769.47","2,469,414.00","3,501.00","94,268.00",yellow
2022-03-24,163786,"124,345.00","1,715,959.03","2,556,177.76","4,310.00","95,836.00",yellow
2022-03-25,169745,"124,059.00","1,766,208.81","2,609,439.28","3,803.00","94,117.00",yellow
2022-03-26,182665,"127,324.00","1,700,076.94","2,501,170.95","3,953.00","98,199.00",yellow
2022-03-27,150245,"107,222.00","1,573,289.62","2,289,977.29","3,398.00","82,276.00",yellow
2022-03-28,146984,"112,277.00","1,573,537.52","2,330,733.36","3,539.00","85,490.00",yellow
2022-03-29,161155,"123,866.00","1,686,676.18","2,508,631.20","3,785.00","95,901.00",yellow
2022-03-30,164975,"126,442.00","1,725,506.85","2,571,919.38","3,735.00","98,545.00",yellow
2022-03-31,168421,"128,465.00","1,828,583.68","2,705,961.16","4,129.00","99,804.00",yellow
2022-03-31,130,73.00,"1,233.00","1,773.77",0.00,61.00,yellow
2022-04-01,181684,"135,547.00","1,933,364.89","2,856,416.39","5,075.00","103,870.00",yellow
2022-04-01,27,13.00,181.50,279.02,0.00,11.00,yellow
2022-04-02,6,3.00,29.50,44.52,0.00,2.00,yellow
2022-04-02,180169,"127,957.00","1,763,421.90","2,574,575.55","5,067.00","97,294.00",yellow
2022-04-03,4,2.00,14.50,25.62,0.00,2.00,yellow
2022-04-03,146553,"104,448.00","1,556,926.77","2,260,975.53","3,897.00","79,240.00",yellow
2022-04-04,144790,"109,726.00","1,578,139.63","2,325,282.05","3,358.00","82,581.00",yellow
2022-04-05,160249,"121,968.00","1,704,707.71","2,521,273.10","3,927.00","93,755.00",yellow
2022-04-06,2,1.00,8.50,12.80,0.00,1.00,yellow
2022-04-06,162832,"124,764.00","1,761,555.55","2,605,405.66","4,529.00","96,305.00",yellow
2022-04-07,168874,"129,116.00","1,831,356.03","2,702,341.93","5,902.00","98,511.00",yellow
2022-04-08,176926,"130,708.00","1,917,700.75","2,817,900.56","4,787.00","99,016.00",yellow
2022-04-09,183798,"128,584.00","1,796,096.39","2,615,545.14","5,186.00","97,834.00",yellow
2022-04-09,4,1.00,8.00,14.16,0.00,1.00,yellow
2022-04-10,157102,"109,767.00","1,634,556.76","2,368,334.27","3,996.00","83,111.00",yellow
2022-04-11,146223,"107,538.00","1,574,787.82","2,307,728.76","2,299.00","80,585.00",yellow
2022-04-12,155962,"117,809.00","1,864,784.53","2,693,049.33","4,110.00","89,698.00",yellow
2022-04-12,11,3.00,27.00,43.92,0.00,3.00,yellow
2022-04-13,164095,"122,117.00","1,808,371.31","2,643,563.93","3,536.00","93,433.00",yellow
2022-04-14,173549,"128,179.00","1,870,554.48","2,741,927.69","3,797.00","97,617.00",yellow
2022-04-14,13,3.00,23.50,42.32,0.00,3.00,yellow
2022-04-15,173826,"121,835.00","1,742,255.03","2,568,407.10","3,611.00","90,710.00",yellow
2022-04-16,11,3.00,35.00,51.72,0.00,2.00,yellow
2022-04-16,170181,"115,277.00","1,554,878.22","2,266,724.71","3,846.00","84,474.00",yellow
2022-04-17,142787,"96,306.00","1,417,948.71","2,051,992.34","2,741.00","70,689.00",yellow
2022-04-18,141123,"103,235.00","1,499,507.26","2,209,978.85","2,629.00","76,577.00",yellow
2022-04-19,160517,"118,539.00","1,664,865.78","2,463,267.42","2,741.00","90,650.00",yellow
2022-04-20,164846,"121,534.00","1,741,457.97","2,564,550.24","2,829.00","92,760.00",yellow
2022-04-21,175127,"127,415.00","1,809,018.35","2,675,167.46","2,851.00","97,617.00",yellow
2022-04-22,180611,"128,247.00","1,816,716.52","2,682,205.97","3,046.00","97,918.00",yellow
2022-04-23,178282,"124,411.00","1,790,114.57","2,586,820.16","4,073.00","94,801.00",yellow
2022-04-23,5,3.00,22.00,38.64,0.00,3.00,yellow
2022-04-24,146795,"103,935.00","1,628,850.90","2,341,073.58","3,686.00","78,644.00",yellow
2022-04-24,4,2.00,12.50,22.92,0.00,2.00,yellow
2022-04-25,141013,"106,623.00","1,571,541.10","2,309,370.13","2,998.00","80,580.00",yellow
2022-04-26,156267,"120,156.00","1,715,958.28","2,533,295.25","3,705.00","92,759.00",yellow
2022-04-27,166707,"127,674.00","1,846,506.31","2,722,208.76","4,458.00","98,628.00",yellow
2022-04-28,168553,"129,292.00","1,927,932.01","2,828,108.25","4,952.00","99,280.00",yellow
2022-04-29,171968,"129,113.00","1,899,122.27","2,790,417.98","5,401.00","97,679.00",yellow
2022-04-30,180006,"127,942.00","1,830,755.75","2,651,222.73","5,841.00","95,798.00",yellow
2022-04-30,186,106.00,"1,441.50","2,148.04",0.00,87.00,yellow
2022-05-01,73,49.00,834.54,"1,202.59",0.00,34.00,yellow
2022-05-01,136740,"100,191.00","1,622,051.85","2,322,043.19","5,060.00","74,471.00",yellow
2022-05-02,122213,"95,596.00","1,445,929.79","2,113,397.67","4,288.00","70,640.00",yellow
2022-05-02,22,22.00,368.00,530.75,0.00,18.00,yellow
2022-05-03,10,3.00,24.50,35.48,0.00,2.00,yellow
2022-05-03,155460,"120,446.00","1,741,654.30","2,567,081.39","4,258.00","91,904.00",yellow
2022-05-03,7,7.00,80.00,126.20,0.00,6.00,yellow
2022-05-04,162262,"125,434.00","1,783,785.16","2,641,224.05","4,290.00","96,739.00",yellow
2022-05-05,172872,"131,774.00","1,937,813.09","2,847,494.44","4,725.00","100,934.00",yellow
2022-05-06,15,4.00,22.00,42.12,0.00,3.00,yellow
